Race	Rnk	Rider	Team	UCI	Pnt	Time
OHN	1	 van der Poel Mathieu	Alpecin-Premier Tech	400	225	04:53:55
OHN	2	 van Dijke Tim	Red Bull - BORA - hansgrohe	320	150	00:22
OHN	3	 Vermeersch Florian	UAE Team Emirates - XRG	260	110	00:24
OHN	4	 Laporte Christophe	Team Visma | Lease a Bike	220	90	00:53
OHN	5	 De Gendt Aimé	Pinarello Q36.5 Pro Cycling Team	180	80	00:54
OHN	6	 Andresen Tobias Lund	Decathlon CMA CGM Team	140	70	00:57
OHN	7	 Meeus Jordi	Red Bull - BORA - hansgrohe	120	60	,,
OHN	8	 Turgis Anthony	TotalEnergies	100	50	,,
OHN	9	 Renard Alexis 	Cofidis	80	46	,,
OHN	10	 Lamperti Luke	EF Education - EasyPost	68	42	,,
OHN	11	 Magnier Paul	Soudal Quick-Step	56	38	,,
OHN	12	 Kopecký Matyáš	Unibet Rose Rockets	48	34	,,
OHN	13	 Pithie Laurence	Red Bull - BORA - hansgrohe	40	30	,,
OHN	14	 Politt Nils	UAE Team Emirates - XRG	32	26	,,
OHN	15	 Trentin Matteo	Tudor Pro Cycling Team	28	22	,,
OHN	16	 Berckmoes Jenno	Lotto Intermarché	24	20	,,
OHN	17	 Abrahamsen Jonas	Uno-X Mobility	24	18	,,
OHN	18	 Krijnsen Jelte 	Team Jayco AlUla	24	17	,,
OHN	19	 Van Hemelen Vincent 	Team Flanders - Baloise	24	16	,,
OHN	20	 Beullens Cedric	Cofidis	24	15	,,
OHN	21	 Teuns Dylan	Lotto Intermarché	16	14	,,
OHN	22	 van Dijke Mick	Red Bull - BORA - hansgrohe	16	13	,,
OHN	23	 Hagenes Per Strand	Team Visma | Lease a Bike	16	12	01:34
OHN	24	 Kirsch Alex	Cofidis	16	11	,,
OHN	25	 Barrenetxea Jon	Movistar Team	16	10	01:55
OHN	26	 Teunissen Mike	XDS Astana Team	16	9	,,
OHN	27	 Vermeersch Gianni	Red Bull - BORA - hansgrohe	16	8	01:59
OHN	28	 Gruel Thibaud	Groupama - FDJ United	16	7	02:02
OHN	29	 Biermans Jenthe	Cofidis	16	6	,,
OHN	30	 Dujardin Sandy	TotalEnergies	16	5	,,
OHN	31	 Van Gestel Dries	Soudal Quick-Step	8	5	,,
OHN	32	 Asgreen Kasper	EF Education - EasyPost	8	5	,,
OHN	33	 Zingle Axel	Team Visma | Lease a Bike	8	5	,,
OHN	34	 Donaldson Robert	Team Jayco AlUla	8	5	,,
OHN	35	 Van Boven Luca	Lotto Intermarché	8	5	,,
OHN	36	 Skujiņš Toms	Lidl - Trek	8	5	,,
OHN	37	 Turner Ben	INEOS Grenadiers	8	5	,,
OHN	38	 Braet Vito	Lotto Intermarché	8	5	,,
OHN	39	 Segaert Alec	Bahrain - Victorious	8	5	,,
OHN	40	 Albanese Vincenzo	EF Education - EasyPost	8	5	,,
OHN	41	 Ballerini Davide	XDS Astana Team	8	5	,,
OHN	42	 Page Hugo	Cofidis	8	5	,,
OHN	43	 Dewulf Stan	Decathlon CMA CGM Team	8	5	,,
